S.No,Business Name,Niche/Category,City,State,Phone Number,Address,Google Rating,Review Count,Website on Google Maps,WhatsApp Number,Google Maps Link,Demo Website Link
19,Tirupati IAS/PSC Classes,Coaching Center,Bhopal,Madhya Pradesh,+91 88393 29128,"2nd Floor, Bhadbhada Rd, Jawahar Chowk, Bhopal",5,287,No,+91 88393 29128,https://maps.google.com/?cid=ChIJxbMJoghDfDkRxvSjq7FSxVI,https://armaanfarooqui22.github.io/business-websites/19-tirupati-iaspsc-classes/
20,Definite Success Classes,Coaching Center,Bhopal,Madhya Pradesh,+91 755 485 2106,"63-B Near Chetak Bridge, Kasturba Nagar, Bhopal",4.9,605,No,+91 755 485 2106,https://maps.google.com/?cid=ChIJhTjAErFDfDkR_YIrAavg-BY,https://armaanfarooqui22.github.io/business-websites/20-definite-success-classes/
21,Puneet sir ki pathshala,Coaching Center,Bhopal,Madhya Pradesh,+91 99773 76777,"127 Ashok Vihar, Nagar Nigam Colony, Bhopal",5,139,No,+91 99773 76777,https://maps.google.com/?cid=ChIJW-NjUDJDfDkRcllXJxzxR-s,https://armaanfarooqui22.github.io/business-websites/21-puneet-sir-ki-pathshala/
22,Mahendra's Institute Bhopal,Coaching Center,Bhopal,Madhya Pradesh,+91 92291 74902,"NARULA COMPLEX, Maharana Pratap Nagar, Bhopal",4.3,1334,No,+91 92291 74902,https://maps.google.com/?cid=ChIJnx4S1kJCfDkRH6Loaan-EJA,https://armaanfarooqui22.github.io/business-websites/22-mahendras-institute-bhopal/
23,Green Garden Nursery,Nursery/Plant Shop,Nagpur,Maharashtra,+91 96578 60602,"Shardha Square, Jawahar Nagar, Nagpur",5,67,No,+91 96578 60602,https://maps.google.com/?cid=ChIJexHjkOq_1DsR6ZXmv6DqJW8,https://armaanfarooqui22.github.io/business-websites/23-green-garden-nursery/
24,Green Gifts Nagpur Nursery,Nursery/Plant Shop,Nagpur,Maharashtra,+91 70289 17456,"RPTS Road, Near Mate Square, Laxmi Nagar, Nagpur",4.9,99,No,+91 70289 17456,https://maps.google.com/?cid=ChIJnSitd5-51DsR-QRRn6AGcJ0,https://armaanfarooqui22.github.io/business-websites/24-green-gifts-nagpur-nursery/
25,LEAFLINGS NURSERY,Nursery/Plant Shop,Nagpur,Maharashtra,+91 93072 48162,"S Ambazari Rd, near mate chowk, Pratap Nagar, Nagpur",4.7,67,No,+91 93072 48162,https://maps.google.com/?cid=ChIJqXWkSMXB1DsRqzjqrpJfQkw,https://armaanfarooqui22.github.io/business-websites/25-leaflings-nursery/
26,PARIHAR NURSERY AND BONSAI,Nursery/Plant Shop,Nagpur,Maharashtra,+91 99751 00004,"MUDLIYAR LAYOUT, Marwadi Wadi, Nagpur",4.9,109,No,+91 99751 00004,https://maps.google.com/?cid=ChIJlyNOhvPH1DsRgrs9njcptJ8,https://armaanfarooqui22.github.io/business-websites/26-parihar-nursery-and-bonsai/
27,Bharatvarsha Nursery Nagpur,Nursery/Plant Shop,Nagpur,Maharashtra,+91 86032 14214,"Umred Rd, Nagpur",4.8,134,No,+91 86032 14214,https://maps.google.com/?cid=ChIJ7VdCdkG51DsRepFfPGK1gnA,https://armaanfarooqui22.github.io/business-websites/27-bharatvarsha-nursery-nagpur/
28,Bharat Nursery,Nursery/Plant Shop,Nagpur,Maharashtra,+91 98230 12461,"S Ambazari Rd, Laxminagar, Nagpur",3.9,58,No,+91 98230 12461,https://maps.google.com/?cid=ChIJF3B9dZLA1DsRxTdQ8VFVvP4,https://armaanfarooqui22.github.io/business-websites/28-bharat-nursery/
29,Dattasai Nursery,Nursery/Plant Shop,Nagpur,Maharashtra,+91 98606 26299,"Near Tukdoji Putala, Hanuman Nagar, Nagpur",4.1,28,No,+91 98606 26299,https://maps.google.com/?cid=ChIJc0nTte-_1DsRBXOOonbi1DQ,https://armaanfarooqui22.github.io/business-websites/29-dattasai-nursery/
30,SAMRAT NURSERY,Nursery/Plant Shop,Nagpur,Maharashtra,+91 88888 61863,"Ashti, Katol Road, Nagpur",5,1,No,+91 88888 61863,https://maps.google.com/?cid=ChIJl7cVm83p1DsRPadBEj9UaPM,https://armaanfarooqui22.github.io/business-websites/30-samrat-nursery/
31,Harshii Mehendi Artist,Mehendi Artist,Indore,Madhya Pradesh,+91 99935 00661,"Khandwa Rd, Davv Takshila Parisar, Indore",4.9,92,No,+91 99935 00661,https://maps.google.com/?cid=ChIJiYUPjFL9YjkRk4WYqr3oAVE,https://armaanfarooqui22.github.io/business-websites/31-harshii-mehendi-artist/
32,Best geetanshi mehndi artist,Mehendi Artist,Indore,Madhya Pradesh,+91 93992 02850,"19 Shiv Shakti Nagar, Pardesipura, Indore",4.9,40,No,+91 93992 02850,https://maps.google.com/?cid=ChIJEe5tvQD9YjkReL70ocpoVPk,https://armaanfarooqui22.github.io/business-websites/32-best-geetanshi-mehndi-artist/
33,Aishwarya Mehndi Art,Mehendi Artist,Indore,Madhya Pradesh,+91 93020 85970,"Swadesh Bhavan, Press Complex, Indore",4.9,120,No,+91 93020 85970,https://maps.google.com/?cid=ChIJhYSfjHX9YjkRDRjo6hMmGA4,https://armaanfarooqui22.github.io/business-websites/33-aishwarya-mehndi-art/
34,Parihar Mehndi Art,Mehendi Artist,Indore,Madhya Pradesh,+91 86021 03702,"Chappan Dukan, New Palasia, Indore",4.9,68,No,+91 86021 03702,https://maps.google.com/?cid=ChIJ_b73naz9YjkRrhQRAMxdT60,https://armaanfarooqui22.github.io/business-websites/34-parihar-mehndi-art/
35,Pooja Mehandi,Mehendi Artist,Indore,Madhya Pradesh,+91 77709 93057,"McDonald's back side, Vijay Nagar Square, Indore",4.9,179,No,+91 77709 93057,https://maps.google.com/?cid=ChIJFS3OVQsDYzkRojfBCE0GHDU,https://armaanfarooqui22.github.io/business-websites/35-pooja-mehandi/
36,MEHANDI SERVICE AT YOUR PLACES,Mehendi Artist,Indore,Madhya Pradesh,+91 89624 20919,"Bapat Square, Sukhliya, Indore",5,45,No,+91 89624 20919,https://maps.google.com/?cid=ChIJEVV8lDADYzkR2PZrXGeIi9I,https://armaanfarooqui22.github.io/business-websites/36-mehandi-service-at-your-places/
37,Nidhi Mehndi Studio,Mehendi Artist,Indore,Madhya Pradesh,+91 62666 07149,"320 Kanadia Main Rd, Alok Nagar, Indore",4.8,118,No,+91 62666 07149,https://maps.google.com/?cid=ChIJo8aQ6wnjYjkRssTfSVqmB9c,https://armaanfarooqui22.github.io/business-websites/37-nidhi-mehndi-studio/
38,FAST TRACK LOGISTIC SOLUTIONS,Packers & Movers,Vadodara,Gujarat,+91 85110 80017,"Ravaliya Mahudevegon, Harni, Vadodara",5,39,No,+91 85110 80017,https://maps.google.com/?cid=ChIJ-bh6p4TPXzkR7xAOVKY3DbA,https://armaanfarooqui22.github.io/business-websites/38-fast-track-logistic-solutions/
39,Victoria Packers & Movers Vadodara,Packers & Movers,Vadodara,Gujarat,+91 99923 65750,"Sf-22 Dwarkesh High Vive, Tarsali, Vadodara",4.9,216,No,+91 99923 65750,https://maps.google.com/?cid=ChIJlYHFO6bFXzkRvCINL4qJkc8,https://armaanfarooqui22.github.io/business-websites/39-victoria-packers-movers-vadodara/
40,DKR PACKERS AND MOVERS,Packers & Movers,Vadodara,Gujarat,+91 90342 58358,"Shop No 11 Shree Kapileshwar Dwelling, Vadodara",5,65,No,+91 90342 58358,https://maps.google.com/?cid=ChIJE1byrwXPXzkROPeuYlzPsTY,https://armaanfarooqui22.github.io/business-websites/40-dkr-packers-and-movers/
41,Baroda Packers And Movers,Packers & Movers,Vadodara,Gujarat,+91 93770 04133,"Krishna Leela Market, Halol Road, Vadodara",4.9,40,No,+91 93770 04133,https://maps.google.com/?cid=ChIJa91u-M_PXzkRolLMgl05Ysg,https://armaanfarooqui22.github.io/business-websites/41-baroda-packers-and-movers/
42,Dev Packers and Movers Vadodara,Packers & Movers,Vadodara,Gujarat,+91 97123 59992,"Shop No 2 Nilkanth Villa, Ajwa Rd, Vadodara",4.8,124,No,+91 97123 59992,https://maps.google.com/?cid=ChIJs_iGKxnPXzkRScSjFsOBUAA,https://armaanfarooqui22.github.io/business-websites/42-dev-packers-and-movers-vadodara/
43,All india packers and movers,Packers & Movers,Vadodara,Gujarat,+91 90167 06050,"07 Neelkanth Vila, New Karelibaug, Vadodara",5,24,No,+91 90167 06050,https://maps.google.com/?cid=ChIJa6vfLmTPXzkRessZBHwTv2g,https://armaanfarooqui22.github.io/business-websites/43-all-india-packers-and-movers/
44,Sunrise Movers Packers,Packers & Movers,Vadodara,Gujarat,+91 87992 26135,"I-203 Baniyan City, Parvati Nagar, Vadodara",4.9,24,No,+91 87992 26135,https://maps.google.com/?cid=ChIJg0TgOYvPXzkRuWX7FdP9fRw,https://armaanfarooqui22.github.io/business-websites/44-sunrise-movers-packers/
45,Shyam Logistics Packers And Movers,Packers & Movers,Vadodara,Gujarat,+91 92270 43667,"GF Shop No 13, Shivalay Bliss, Ankhol, Vadodara",5,21,No,+91 92270 43667,https://maps.google.com/?cid=ChIJt3SGV_zPXzkRLit6upZhRL4,https://armaanfarooqui22.github.io/business-websites/45-shyam-logistics-packers-and-movers/
46,mahek events,Event Decorator,Surat,Gujarat,+91 80004 25345,"1001 Harmain Appartment, Athwa, Surat",4.8,106,No,+91 80004 25345,https://maps.google.com/?cid=ChIJ91CcVpYELikRtMqxlbiJzJ8,https://armaanfarooqui22.github.io/business-websites/46-mahek-events/
47,Balloon Decoration - Event Management,Event Decorator,Surat,Gujarat,+91 97147 79996,"Silver Business Point, Utran, Surat",5,138,No,+91 97147 79996,https://maps.google.com/?cid=ChIJYT33_MdP4DsRKwlGN4gBli8,https://armaanfarooqui22.github.io/business-websites/47-balloon-decoration-event-management/
48,Happy Event - Event Management,Event Decorator,Surat,Gujarat,+91 76004 64414,"Khodiyar Nagar Rd, Varachha, Surat",5,60,No,+91 76004 64414,https://maps.google.com/?cid=ChIJQxxlC-ZP4DsRBiI0bQlWDq4,https://armaanfarooqui22.github.io/business-websites/48-happy-event-event-management/
49,Balloon Decoration Shining Star Event,Event Decorator,Surat,Gujarat,+91 76219 72421,"Suman Shail, Vesu, Surat",4.8,115,No,+91 76219 72421,https://maps.google.com/?cid=ChIJr1H15MhT4DsRziAVQJks89E,https://armaanfarooqui22.github.io/business-websites/49-balloon-decoration-shining-star-event/
50,Happy Events Balloon Decoration In Surat,Event Decorator,Surat,Gujarat,+91 78785 90063,"Times Trade Center, Canal Rd, Surat",4.9,152,No,+91 78785 90063,https://maps.google.com/?cid=ChIJg9UWu25P4DsROzQhmXuE5J8,https://armaanfarooqui22.github.io/business-websites/50-happy-events-balloon-decoration-in-surat/
51,Birthday Decoration Bright Decoration,Event Decorator,Surat,Gujarat,+91 81600 06572,"West Field Mall, Ghod Dod Rd, Athwa, Surat",5,17,No,+91 81600 06572,https://maps.google.com/?cid=ChIJPxelBgBP4DsRfh6BfrLMFYg,https://armaanfarooqui22.github.io/business-websites/51-birthday-decoration-bright-decoration/
52,A P (PLUMBER),Plumber/Electrician,Kanpur,Uttar Pradesh,+91 95553 31735,"19/99 Birhana Rd, Patkapur, Kanpur",4.9,27,No,+91 95553 31735,https://maps.google.com/?cid=ChIJA7Ng5k9HnDkRSTA1TzBPR50,https://armaanfarooqui22.github.io/business-websites/52-a-p-plumber/
53,Pankaj Plumber,Plumber/Electrician,Kanpur,Uttar Pradesh,+91 72349 81734,"Hastings, JK Puri, Kanpur",4.6,33,No,+91 72349 81734,https://maps.google.com/?cid=ChIJQZv3rbdBnDkRkY2uDgXV1Jg,https://armaanfarooqui22.github.io/business-websites/53-pankaj-plumber/
54,Stylish plumber,Plumber/Electrician,Kanpur,Uttar Pradesh,+91 95558 08492,"279 Sandeep Nagar, Shyam Nagar, Kanpur",5,35,No,+91 95558 08492,https://maps.google.com/?cid=ChIJs9xUFg5BnDkRX4bH0DzzzBk,https://armaanfarooqui22.github.io/business-websites/54-stylish-plumber/
55,Electric Service KNP,Plumber/Electrician,Kanpur,Uttar Pradesh,+91 79054 37056,"Near Sainik Chauraha, Yashoda Nagar, Kanpur",4.9,207,No,+91 79054 37056,https://maps.google.com/?cid=ChIJvxhWBo1HnDkRZrpXx4h5guI,https://armaanfarooqui22.github.io/business-websites/55-electric-service-knp/
56,Beauty Station,Beauty Parlour/Salon,Varanasi,Uttar Pradesh,+91 95803 07062,"N8/191, Brij Enclave Colony, Sundarpur, Varanasi",4.8,976,No,+91 95803 07062,https://maps.google.com/?cid=ChIJp7pK-dQzjjkRWZPIyFim3Vo,https://armaanfarooqui22.github.io/business-websites/56-beauty-station/
57,she n me salon,Beauty Parlour/Salon,Varanasi,Uttar Pradesh,+91 84290 21804,"SHIV SHAKTI TOWER, Lahurabir Rd, Chetganj, Varanasi",4.5,2563,No,+91 84290 21804,https://maps.google.com/?cid=ChIJOaK0apkvjjkRN85Wquc1uhc,https://armaanfarooqui22.github.io/business-websites/57-she-n-me-salon/
58,Saundarya Beauty Studio,Beauty Parlour/Salon,Varanasi,Uttar Pradesh,+91 87950 01020,"C 21/90 KH, Lane No. 3, Lahurabir, Varanasi",4.9,1372,No,+91 87950 01020,https://maps.google.com/?cid=ChIJDdqarA8zjjkRpdqkYDjM1Lk,https://armaanfarooqui22.github.io/business-websites/58-saundarya-beauty-studio/
59,Beauty n Joy,Beauty Parlour/Salon,Varanasi,Uttar Pradesh,+91 63935 98841,"C-25-1 SV Grand Hotel, Ramkatora, Varanasi",4.7,1579,No,+91 63935 98841,https://maps.google.com/?cid=ChIJTR1c7REujjkR0fK6CAsM6sA,https://armaanfarooqui22.github.io/business-websites/59-beauty-n-joy/
60,R Three Salon,Beauty Parlour/Salon,Varanasi,Uttar Pradesh,+91 90440 42422,"D58/19 A-4, Nagar Nigam Rd, Sigra, Varanasi",4.7,1843,No,+91 90440 42422,https://maps.google.com/?cid=ChIJhTg0fxAtjjkRlITrwfo0o1I,https://armaanfarooqui22.github.io/business-websites/60-r-three-salon/
61,make & shine,Beauty Parlour/Salon,Varanasi,Uttar Pradesh,+91 80904 62090,"c1/3, Lahurabir Rd, Hathua Market, Varanasi",4.7,519,No,+91 80904 62090,https://maps.google.com/?cid=ChIJl5hoIQ8ujjkRY3bqCvSr8-M,https://armaanfarooqui22.github.io/business-websites/61-make-shine/
62,Salon Stories,Beauty Parlour/Salon,Varanasi,Uttar Pradesh,+91 88816 74727,"B-37/119-C, Rathyatra Crossing, Mahmoorganj, Varanasi",4.7,669,No,+91 88816 74727,https://maps.google.com/?cid=ChIJEfxk3yMzjjkRKlvTPjBTtqY,https://armaanfarooqui22.github.io/business-websites/62-salon-stories/
63,Viva Beauty Salon & Academy,Beauty Parlour/Salon,Varanasi,Uttar Pradesh,+91 76170 79933,"Sai Complex, Sigra, Varanasi",4.7,711,No,+91 76170 79933,https://maps.google.com/?cid=ChIJAwAAQPktjjkR018-4aRk6eU,https://armaanfarooqui22.github.io/business-websites/63-viva-beauty-salon-academy/
64,Bhagwati Ayurved,Ayurvedic/Herbal Store,Patna,Bihar,+91 81021 55655,"Boring Road, Anandpuri, Patna",4.9,326,No,+91 81021 55655,https://maps.google.com/?cid=ChIJNQQKhiVY7TkR-oV0zhCKHy0,https://armaanfarooqui22.github.io/business-websites/64-bhagwati-ayurved/
65,Satayasha Ayurvedic Herbal IMC Store,Ayurvedic/Herbal Store,Patna,Bihar,+91 87094 58193,"Renu Kunj, Ashok Nagar, Patna",5,2,No,+91 87094 58193,https://maps.google.com/?cid=ChIJ_95FYwVZ7TkRzjNFlzdLzXE,https://armaanfarooqui22.github.io/business-websites/65-satayasha-ayurvedic-herbal-imc-store/
66,Atharva Ayurvedic Store,Ayurvedic/Herbal Store,Patna,Bihar,+91 93047 97244,"Akash Market, Harnichak, Kisan Colony, Patna",4.9,19,No,+91 93047 97244,https://maps.google.com/?cid=ChIJvU2hiBSp8jkRbuseyvjz2F0,https://armaanfarooqui22.github.io/business-websites/66-atharva-ayurvedic-store/
67,Jeevan Aayurved Bhawan,Ayurvedic/Herbal Store,Patna,Bihar,+91 78708 92120,"Saketpuri, Kankarbagh, Patna",4.3,3,No,+91 78708 92120,https://maps.google.com/?cid=ChIJ1ZOsV4BZ7TkR550mmsaE0Oo,https://armaanfarooqui22.github.io/business-websites/67-jeevan-aayurved-bhawan/
68,Niramay Health Care Ayurvedic,Ayurvedic/Herbal Store,Patna,Bihar,+91 79037 33208,"Sandalpur Rd, Sardar Patel Colony, Patna",4.9,15,No,+91 79037 33208,https://maps.google.com/?cid=ChIJp9jJxxtZ7TkRkuoeYl_QOT8,https://armaanfarooqui22.github.io/business-websites/68-niramay-health-care-ayurvedic/
69,Studio Agra,Photography Studio,Agra,Uttar Pradesh,+91 92192 19478,"Mau Rd, Khandari Bypass, Agra",4.9,628,No,+91 92192 19478,https://maps.google.com/?cid=ChIJ2ZuLbGR3dDkRQemiednDOl4,https://armaanfarooqui22.github.io/business-websites/69-studio-agra/
70,Honey Photography & Digital Studio,Photography Studio,Agra,Uttar Pradesh,+91 87917 17994,"near St Peter's college, Sanjay Palace, Agra",4.9,507,No,+91 87917 17994,https://maps.google.com/?cid=ChIJS1CIM2R3dDkRUQLVlRgiA1g,https://armaanfarooqui22.github.io/business-websites/70-honey-photography-digital-studio/
71,Shiva Art Studio,Photography Studio,Agra,Uttar Pradesh,+91 88816 75007,"9A/1, near Sanatan Dharam Mandir, Agra Cantt",4.9,369,No,+91 88816 75007,https://maps.google.com/?cid=ChIJq6qqatJ2dDkRFeIPoE-EC-4,https://armaanfarooqui22.github.io/business-websites/71-shiva-art-studio/
